# Force and moment coefficients
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# liftDir           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# rollAxis          : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# yawAxis           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 4.000000000000e+01
# lRef              : 1.044000000000e+00
# Aref              : 1.120000000000e-01
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	Cd                  	Cd(f)               	Cd(r)               	Cl                  	Cl(f)               	Cl(r)               	CmPitch             	CmRoll              	CmYaw               	Cs                  	Cs(f)               	Cs(r)               
501                 	3.593956390789e-01	1.790834285507e-01	1.803122105282e-01	4.212575881788e-01	-3.922435399973e-02	4.604819421785e-01	-2.498531480891e-01	-6.143909887468e-04	-1.844752359904e-03	-1.291664497892e-02	-8.303074849363e-03	-4.613570129555e-03
502                 	3.611432135053e-01	1.800823355977e-01	1.810608779076e-01	4.417421398410e-01	-4.839374881525e-02	4.901358886562e-01	-2.692648187357e-01	-4.892711549742e-04	-7.947802685329e-04	-9.815631636601e-03	-5.702596086834e-03	-4.113035549768e-03
503                 	3.629559508378e-01	1.811553228835e-01	1.818006279543e-01	4.554492833266e-01	-5.674373593272e-02	5.121930192593e-01	-2.844683775960e-01	-3.226525353751e-04	3.513249330111e-04	-4.792538605972e-03	-2.044944369975e-03	-2.747594235997e-03
504                 	3.643936553509e-01	1.821271797594e-01	1.822664755915e-01	4.702085809536e-01	-6.301332814039e-02	5.332219090940e-01	-2.981176186172e-01	-6.964791607724e-05	1.530961895397e-03	9.378479273079e-04	1.999885859051e-03	-1.062037931743e-03
505                 	3.658139075304e-01	1.831666825534e-01	1.826472249770e-01	4.915899390603e-01	-6.704495936282e-02	5.586348984231e-01	-3.128399288930e-01	2.597287882333e-04	2.338405882772e-03	5.419157441762e-03	5.047984603653e-03	3.711728381086e-04
506                 	3.681577913041e-01	1.846565004009e-01	1.835012909032e-01	5.184307603181e-01	-6.980875587553e-02	5.882395161937e-01	-3.290241360346e-01	5.776047488374e-04	2.639732402199e-03	7.849995377514e-03	6.564730090956e-03	1.285265286558e-03
507                 	3.714711204137e-01	1.865106964903e-01	1.849604239234e-01	5.436391387948e-01	-7.232346786664e-02	6.159626066614e-01	-3.441430372640e-01	7.751362834321e-04	2.420383809675e-03	8.361663438794e-03	6.601215529072e-03	1.760447909722e-03
508                 	3.750933345789e-01	1.883395459403e-01	1.867537886386e-01	5.594965989865e-01	-7.429778376943e-02	6.337943827559e-01	-3.540460832627e-01	7.928786508569e-04	1.755207075609e-03	7.391647923529e-03	5.451031037373e-03	1.940616886156e-03
509                 	3.779941507093e-01	1.896085637507e-01	1.883855869587e-01	5.583309911320e-01	-7.451110728395e-02	6.328420984159e-01	-3.536766028499e-01	6.114883960145e-04	1.025725803760e-03	5.737137696242e-03	3.894294651880e-03	1.842843044361e-03
510                 	3.794913088167e-01	1.901109655801e-01	1.893803432366e-01	5.428576597973e-01	-7.239976428602e-02	6.152574240833e-01	-3.438285941847e-01	3.653111717898e-04	3.431357370361e-04	3.509608244067e-03	2.097939859070e-03	1.411668384997e-03
