# y+ ()             
# Time              	patch               	min                 	max                 	average             
510                 	bottom	1.734096367215e+01	2.409304354373e+03	6.276336483441e+02
510                 	Body	2.345448991633e+00	1.875999240083e+02	4.989307441938e+01
520                 	bottom	1.289799145739e+01	2.471695990922e+03	6.264880073529e+02
520                 	Body	1.532750548114e+00	2.033885539758e+02	4.996540531400e+01
530                 	bottom	1.264317914790e+01	2.386006754050e+03	6.272522969077e+02
530                 	Body	2.225045817249e+00	1.955924821703e+02	4.999279385886e+01
540                 	bottom	1.400119044082e+01	2.293808056071e+03	6.262772095688e+02
540                 	Body	2.130997641741e+00	2.068730250792e+02	4.996101504961e+01
550                 	bottom	1.515954911582e+01	2.283714770731e+03	6.261699973479e+02
550                 	Body	3.595311401753e+00	1.873912216199e+02	4.992044811212e+01
560                 	bottom	1.519078003115e+01	2.231493471818e+03	6.261570443490e+02
560                 	Body	2.055259443170e+00	1.935750231326e+02	4.989263827964e+01
570                 	bottom	1.418507395377e+01	2.233409698631e+03	6.248865370602e+02
570                 	Body	1.593793693206e+00	2.097605805485e+02	4.996084580957e+01
580                 	bottom	1.537069828760e+01	2.227318014416e+03	6.255709652513e+02
580                 	Body	2.272809267776e+00	2.664579087441e+02	5.004518437074e+01
590                 	bottom	1.469954759824e+01	2.234365802042e+03	6.245747435373e+02
590                 	Body	2.257736633504e+00	2.017509795255e+02	4.988458773499e+01
600                 	bottom	1.683013792495e+01	2.228826506248e+03	6.244706147570e+02
600                 	Body	2.023948111241e+00	1.881617162491e+02	4.986813447874e+01
610                 	bottom	1.444025510398e+01	2.231274275990e+03	6.242932771588e+02
610                 	Body	2.648665244059e+00	1.921009903435e+02	4.989813718522e+01
620                 	bottom	1.315292981557e+01	2.233617251475e+03	6.233321659965e+02
620                 	Body	2.696942075134e+00	2.084586358213e+02	4.997283161949e+01
630                 	bottom	1.241392413571e+01	2.228486148908e+03	6.238996643040e+02
630                 	Body	2.325125768538e+00	1.935115531047e+02	4.996897632312e+01
640                 	bottom	1.331923222566e+01	2.234474889346e+03	6.228113833557e+02
640                 	Body	1.472838259807e+00	2.059844351511e+02	4.998418695568e+01
650                 	bottom	1.569178831531e+01	2.228445173174e+03	6.229681026348e+02
650                 	Body	2.624727358923e+00	2.152949600820e+02	5.003076088187e+01
660                 	bottom	1.498003158654e+01	2.232188097941e+03	6.229929801771e+02
660                 	Body	2.384212679270e+00	1.965881323465e+02	4.982251595932e+01
670                 	bottom	1.230171051433e+01	2.233148709125e+03	6.224187628716e+02
670                 	Body	2.548352907124e+00	1.903072022233e+02	4.988710834165e+01
680                 	bottom	4.831885934970e+00	2.228181391169e+03	6.232544523983e+02
680                 	Body	2.088145059848e+00	1.945478789687e+02	4.994933642997e+01
690                 	bottom	1.342334366943e+01	2.234538425173e+03	6.225237789975e+02
690                 	Body	1.943582252405e+00	2.107834278708e+02	5.001772829993e+01
700                 	bottom	1.562091179711e+01	2.227809150075e+03	6.230205351465e+02
700                 	Body	2.309059960268e+00	1.967686762785e+02	4.999501516086e+01
710                 	bottom	1.594638868130e+01	2.232454516042e+03	6.227953489613e+02
710                 	Body	1.975937650383e+00	1.893952070432e+02	4.987582458040e+01
720                 	bottom	1.249239813455e+01	2.232506276667e+03	6.224039748779e+02
720                 	Body	2.413302414275e+00	1.844838663785e+02	4.991630669282e+01
730                 	bottom	1.341023310600e+01	2.228682528151e+03	6.234394610477e+02
730                 	Body	3.874304627323e+00	2.149024221711e+02	4.997322533534e+01
740                 	bottom	1.690484269830e+01	2.234415294492e+03	6.226858718241e+02
740                 	Body	1.220049487380e+00	2.192356505911e+02	5.001010556907e+01
750                 	bottom	1.653971804850e+01	2.227727284819e+03	6.230315809557e+02
750                 	Body	1.600162029877e+00	2.024866543082e+02	4.999200775698e+01
